channel_id,channel_name,niche,country,subscriber_count,view_count,video_count,avg_views_per_video,engagement_rate,upload_frequency,channel_age_days,estimated_monthly_revenue
UC000164SEED,SweatSmart164,fitness,UK,11743,151200,280,540,0.0692,4.1,2051,130.35
UC000165SEED,CloudCast165,tech,MX,10001,370064,404,916,0.0594,3.74,3247,24.1
UC000166SEED,SkitKit166,comedy,BR,181709,1222035,257,4755,0.056,5.1,1516,76.25
UC000167SEED,WisdomWell167,education,UK,2880759,108660428,188,577981,0.0218,3.01,1883,26069.14
UC000168SEED,DevDive168,tech,AU,176036,13195392,448,29454,0.0302,3.73,3601,6061.09
UC000169SEED,PixelPulse169,tech,MX,500000,9699260,199,48740,0.0272,2.77,2161,639.42
UC000170SEED,GadgetGuru170,tech,US,41647,327516,294,1114,0.0504,4.42,2002,104.17
UC000171SEED,ClassCraft171,education,AU,14787,664759,421,1579,0.039,4.43,2859,87.58
UC000172SEED,MoneyMind172,finance,FR,13377,139080,60,2318,0.019,3.73,485,177.54
UC000173SEED,PeakPhysique173,fitness,DE,187166,10086720,192,52535,0.0517,2.83,2038,1170.9
UC000174SEED,SiliconSage174,tech,US,1877186,37546833,177,212129,0.0347,3.74,1427,17491.3
UC000175SEED,WealthWave175,finance,BR,178856,355600,28,12700,0.0107,2.08,410,288.07
UC000176SEED,SiliconSage176,tech,FR,947133,109122882,426,256157,0.0344,4.58,2792,21171.07
UC000177SEED,DevDive177,tech,FR,125793,1423377,89,15993,0.0377,3.79,706,774.94
UC000178SEED,SkitKit178,comedy,JP,54697,12764370,695,18366,0.0727,6.56,3178,555.39
UC000179SEED,InvestIQ179,finance,US,176847,1201828,106,11338,0.0329,1.49,2137,346.4
UC000180SEED,FlexFlow180,fitness,AU,82949,4234132,259,16348,0.0168,3.74,2082,405.39
UC000181SEED,CoreCraft181,fitness,UK,24920,2469428,338,7306,0.0612,3.1,3282,170.18
UC000182SEED,ClassCraft182,education,AU,44880,937101,219,4279,0.0572,2.98,2209,233.39
UC000183SEED,StudySync183,education,CA,90714,2796192,456,6132,0.0435,4.07,3359,259.75
UC000184SEED,CodeCraft184,tech,JP,17575,505408,424,1192,0.0353,4.11,3095,81.1
UC000185SEED,HahaHub185,comedy,BR,3897529,143789954,583,246638,0.0583,5.84,2996,3798.68
UC000186SEED,TradeTalk186,finance,AU,26478,35074,13,2698,0.038,0.5,812,32.51
UC000187SEED,WisdomWell187,education,IN,54682,1207995,145,8331,0.0495,2.2,1987,76.62
UC000188SEED,DevDive188,tech,JP,299981,8075884,226,35734,0.0504,2.32,2929,965.58
UC000189SEED,PeakPhysique189,fitness,MX,65850,649329,303,2143,0.0489,5.67,1603,58.04
UC000190SEED,StockSage190,finance,DE,448589,7002349,233,30053,0.0168,2.44,2866,1016.65
UC000191SEED,MindMap191,education,IN,25685,384888,232,1659,0.0423,4.92,1416,10.6
UC000192SEED,CloudCast192,tech,DE,37449,477730,110,4343,0.0379,2.07,1602,124.24
UC000193SEED,CapitalCorner193,finance,JP,14073,415104,188,2208,0.0126,1.46,3877,23.0
UC000194SEED,EduEdge194,education,IN,920748,58168663,469,124027,0.0531,5.35,2631,12227.67
UC000195SEED,ComedyCave195,comedy,MX,2409134,329377664,896,367609,0.0649,7.62,3527,4917.77
UC000196SEED,CloudCast196,tech,BR,309482,3204210,635,5046,0.0329,4.85,3930,153.93
UC000197SEED,PixelPulse197,tech,US,777660,21704242,371,58502,0.0316,3.18,3511,2670.88
UC000198SEED,FlexFlow198,fitness,UK,5683066,285397112,308,926614,0.005,4.71,1961,15629.88
UC000199SEED,LearnLift199,education,IN,16746,58947,147,401,0.0321,1.34,3289,2.86
UC000200SEED,ChuckleChief200,comedy,US,2864251,204198644,611,334204,0.045,6.01,3056,10430.59
UC000201SEED,CoreCraft201,fitness,JP,184340,5455090,190,28711,0.0463,3.11,1844,936.42
UC000202SEED,PeakPhysique202,fitness,IN,222508,1539804,69,22316,0.0374,3.81,547,1194.65
UC000203SEED,DevDive203,tech,CA,11902,573482,299,1918,0.0385,3.34,2693,102.29
UC000204SEED,ClassCraft204,education,AU,236473,14375115,285,50439,0.0334,3.25,2636,2394.01
UC000205SEED,ComedyCave205,comedy,JP,19257,1136200,475,2392,0.0554,6.57,2170,62.17
UC000206SEED,PixelPulse206,tech,AU,2021646,11606000,56,207250,0.0211,4.49,378,13935.96
UC000207SEED,ClassCraft207,education,AU,184660,10709535,505,21207,0.0457,4.13,3672,1434.33
UC000208SEED,DollarDrift208,finance,CA,98515,1543086,118,13077,0.0413,3.66,971,1094.33
UC000209SEED,HahaHub209,comedy,US,38319,360603,389,927,0.0375,5.35,2183,33.54
UC000210SEED,WealthWave210,finance,MX,742003,52890706,374,141419,0.0163,3.25,3456,3114.9
UC000211SEED,DevDive211,tech,FR,64454,2445525,225,10869,0.022,4.47,1512,499.81
UC000212SEED,PixelPulse212,tech,DE,27447,1217748,327,3724,0.0308,4.39,2240,277.02
UC000213SEED,SweatSmart213,fitness,UK,41431,1285824,296,4344,0.0328,3.95,2251,117.81
UC000214SEED,KnowNow214,education,US,433591,4151893,283,14671,0.0314,2.58,3299,535.83
UC000215SEED,ChuckleChief215,comedy,DE,279618,11887104,426,27904,0.0291,6.31,2029,1016.2
UC000216SEED,TechTrace216,tech,DE,18596,485276,451,1076,0.0398,3.53,3846,71.79
UC000217SEED,ComedyCave217,comedy,FR,235372,4022469,451,8919,0.0982,5.06,2676,305.2
UC000218SEED,InvestIQ218,finance,FR,177670,73196,29,2524,0.0489,1.5,591,59.16
UC000219SEED,LearnLift219,education,JP,9248876,47454796,46,1031626,0.0151,0.73,1938,7636.37
UC000220SEED,HahaHub220,comedy,JP,2593252,524837950,475,1104922,0.0681,3.58,3981,17540.22
UC000221SEED,CodeCraft221,tech,BR,202685,23350236,546,42766,0.0267,4.19,3917,944.08
UC000222SEED,MuscleMap222,fitness,FR,303003,4450300,382,11650,0.0485,3.62,3169,929.46
UC000223SEED,SkitKit223,comedy,MX,105744,681986,137,4978,0.0497,5.2,795,29.25
UC000224SEED,LaughLab224,comedy,BR,387210,775446,259,2994,0.0799,4.68,1663,5.86
UC000225SEED,GiggleGang225,comedy,FR,163171,17350320,804,21580,0.0317,6.32,3819,925.43
UC000226SEED,MuscleMap226,fitness,BR,2151566,293548176,684,429164,0.038,5.69,3609,8542.32
UC000227SEED,ThinkTank227,education,MX,500000,33338088,357,93384,0.0324,3.24,3312,1625.37
UC000228SEED,DollarDrift228,finance,FR,61356,628147,211,2977,0.0054,3.33,1910,210.34
UC000229SEED,InvestIQ229,finance,DE,3217834,31722894,114,278271,0.0232,1.12,3061,5741.95
UC000230SEED,ComedyCave230,comedy,UK,1006351,34821816,796,43746,0.0233,7.25,3297,2426.95
UC000231SEED,CryptoClarity231,finance,BR,276868,1148664,33,34808,0.0376,0.7,1442,253.74
UC000232SEED,WealthWave232,finance,CA,946978,56834414,343,165698,0.0262,3.48,2961,9586.53
UC000233SEED,TradeTalk233,finance,DE,39052,2647768,344,7697,0.0366,3.43,3007,491.2
UC000234SEED,ZenZeal234,fitness,UK,23782,3143854,446,7049,0.0608,3.93,3414,196.58
UC000235SEED,ZenZeal235,fitness,CA,283647,12527232,152,82416,0.0526,4.51,1016,3960.24
UC000236SEED,CapitalCorner236,finance,AU,129921,2439882,162,15061,0.0477,3.83,1275,1348.4
UC000237SEED,ByteBlast237,tech,AU,20566,427825,109,3925,0.029,5.34,613,464.75
UC000238SEED,ZenZeal238,fitness,US,371007,15216720,240,63403,0.0567,2.58,2805,1755.53
UC000239SEED,PunchlinePro239,comedy,US,2046446,35681465,155,230203,0.0914,4.59,1016,1488.98
UC000240SEED,SiliconSage240,tech,UK,17175,145200,176,825,0.0381,3.75,1409,39.39
UC000241SEED,AIAlerts241,tech,MX,423100,9189024,222,41392,0.0423,5.0,1337,1600.51
UC000242SEED,WealthWave242,finance,JP,3824358,52710528,78,675776,0.0287,3.16,749,27697.62
UC000243SEED,MoneyMind243,finance,FR,169823,1984850,70,28355,0.0396,0.55,3845,275.39
UC000244SEED,KnowNow244,education,FR,27567,183810,330,557,0.0621,5.1,1944,189.7
UC000245SEED,RoastReel245,comedy,MX,18745,570570,210,2717,0.1073,4.67,1349,35.0
UC000246SEED,AIAlerts246,tech,JP,2364887,49158666,227,216558,0.0331,1.82,3755,5460.29
UC000247SEED,CodeCraft247,tech,AU,4238594,87191451,283,308097,0.0393,6.34,1342,37965.88
UC000248SEED,CryptoClarity248,finance,JP,71747,2284540,206,11090,0.0316,3.15,1973,470.43
UC000249SEED,PeakPhysique249,fitness,BR,156296,5588984,524,10666,0.0382,5.73,2746,178.26
UC000250SEED,BullRunTV250,finance,DE,36790,60190,130,463,0.0146,2.62,1491,21.29
UC000251SEED,FlexFlow251,fitness,FR,1831855,50894052,242,210306,0.0567,4.39,1653,28841.07
UC000252SEED,CapitalCorner252,finance,BR,130662,8412811,341,24671,0.035,3.0,3410,719.2
UC000253SEED,SiliconSage253,tech,US,32087,160362,177,906,0.0284,5.59,951,69.46
UC000254SEED,StockSage254,finance,BR,11999,148433,151,983,0.0518,3.73,1216,24.58
UC000255SEED,TradeTalk255,finance,AU,332264,9548955,195,48969,0.0184,2.21,2660,1880.69
UC000256SEED,CodeCraft256,tech,CA,18681,693021,427,1623,0.0207,3.55,3620,98.92
UC000257SEED,RoastReel257,comedy,JP,115597,1600030,86,18605,0.0719,6.51,401,807.47
UC000258SEED,ZenZeal258,fitness,BR,236865,2823600,104,27150,0.0479,3.04,1031,406.83
UC000259SEED,PixelPulse259,tech,JP,40402,394973,71,5563,0.0292,3.55,606,805.07
UC000260SEED,BullRunTV260,finance,IN,67282,990600,130,7620,0.024,2.28,1719,96.78
UC000261SEED,PunchlinePro261,comedy,US,180832,23933112,602,39756,0.0706,5.49,3289,1879.36
UC000262SEED,MoneyMind262,finance,IN,414150,3008720,110,27352,0.0425,3.79,875,906.34
UC000263SEED,TechTrace263,tech,CA,467919,20073336,573,35032,0.0542,4.79,3596,2426.07
UC000264SEED,RoastReel264,comedy,AU,26321,200196,249,804,0.0662,6.52,1146,40.12
UC000265SEED,AIAlerts265,tech,UK,143940,11478866,434,26449,0.0356,4.53,2881,1701.12
UC000266SEED,CryptoClarity266,finance,UK,127840,3017520,165,18288,0.0343,3.75,1326,1383.6
UC000267SEED,GadgetGuru267,tech,FR,37002,286335,27,10605,0.0222,1.62,506,305.19
UC000268SEED,TradeTalk268,finance,DE,3338283,74445618,69,1078922,0.0267,1.65,1270,29685.3
UC000269SEED,ThinkTank269,education,JP,16300,16040,40,401,0.0606,2.71,446,4.68
UC000270SEED,PixelPulse270,tech,US,103773,1322574,66,20039,0.0473,3.96,506,8999.05
UC000271SEED,FlexFlow271,fitness,IN,18359,648672,232,2796,0.0654,5.84,1196,67.93
UC000272SEED,StockSage272,finance,FR,69986,2837510,365,7774,0.0452,3.33,3289,617.07
UC000273SEED,SiliconSage273,tech,CA,97392,4441658,338,13141,0.02,3.5,2899,738.08
UC000274SEED,WealthWave274,finance,BR,464436,23287645,355,65599,0.0405,3.13,3408,385.88
UC000275SEED,SkillStack275,education,UK,11115,1652464,451,3664,0.0685,3.65,3713,247.06
UC000276SEED,WisdomWell276,education,BR,185641,1589070,141,11270,0.0296,3.76,1132,298.61
UC000277SEED,LiftLab277,fitness,MX,49077,796920,232,3435,0.057,4.41,1583,46.15
UC000278SEED,TradeTalk278,finance,BR,25725,578305,287,2015,0.0146,2.21,3902,32.06
UC000279SEED,EduEdge279,education,JP,16054,664972,238,2794,0.0487,2.54,2814,308.04
